Nome,Squadra,R,attributi,Res. Inf.,Qt.A,Qt.I,Diff.,FVM,Pv 23_24,Mv 23_24,Fm 23_24,Gf 23_24,Gs 23_24,Rp 23_24,Rc 23_24,R+ 23_24,R- 23_24,Ass 23_24,Amm 23_24,Esp 23_24,Au 23_24,Pv 22_23,Mv 22_23,Fm 22_23,Gf 22_23,Gs 22_23,Rp 22_23,Rc 22_23,R+ 22_23,R- 22_23,Ass 22_23,Amm 22_23,Esp 22_23,Au 22_23,Pv,Mv,Fm,Gf,Gs,Rp,Rc,R+,R-,Ass,Amm,Esp,Au
Kossounou,Atalanta,D,"['Panchinaro', 'Giovane talento']",60%,10,10,0,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luperto,Cagliari,D,"['Titolare', 'Buona Media']",60%,9,8,1,14,38.0,6.0,6.05,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,36.0,5.93,6.01,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,22.0,5.75,5.61,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,0.0
Darmian,Inter,D,"['Panchinaro', 'Buona Media', 'Assistman']",60%,9,8,1,21,32.0,6.14,6.33,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,27.0,6.06,6.19,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,23.0,6.13,6.35,2.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0
Sergi Roberto,Como,D,,,9,9,0,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angelino,Roma,D,"['Titolare', 'Assistman']",60%,9,10,-1,27,16.0,5.94,5.88,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Vasquez,Genoa,D,['Titolare'],60%,9,9,0,16,35.0,6.16,6.19,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,23.0,5.78,5.76,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,28.0,5.89,5.88,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
Bijol,Udinese,D,"['Titolare', 'Buona Media', 'Goleador']",60%,9,8,1,20,24.0,6.08,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,32.0,5.88,6.03,3.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,,,,,,,,,,,,,
Carlos Augusto,Inter,D,,,9,9,0,20,35.0,6.14,6.21,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,35.0,6.16,6.76,6.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,,,,,,,,,,,,,
Dodo',Fiorentina,D,"['Outsider', 'Titolare']",60%,9,9,0,25,6.0,5.75,5.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,5.88,5.98,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,,,,,,,,,,,,,
Biraghi,Fiorentina,D,"['Titolare', 'Assistman']",60%,8,7,1,30,28.0,5.96,6.11,2.0,0.0,0.0,1.0,0.0,1.0,5.0,8.0,0.0,0.0,32.0,6.05,6.19,2.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,0.0,1.0,37.0,5.96,6.11,4.0,0.0,0.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0
Djimsiti,Atalanta,D,"['Panchinaro', 'Buona Media']",60%,8,8,0,18,36.0,5.94,5.92,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,22.0,5.91,5.89,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,29.0,5.86,5.84,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,1.0
Varane,Como,D,"['Fuoriclasse', 'Titolare', 'Buona Media']",40%,8,9,-1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolasinac,Atalanta,D,['Titolare'],40%,8,9,-1,21,29.0,6.03,6.07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Mina,Cagliari,D,"['Titolare', 'Falloso']",40%,8,8,0,13,15.0,6.03,6.27,2.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
N'Dicka,Roma,D,,,8,8,0,20,25.0,5.86,5.86,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Miranda J.,Bologna,D,,,8,8,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parisi,Fiorentina,D,"['Titolare', 'Buona Media', 'Assistman', 'Giovane talento']",60%,8,8,0,20,21.0,5.69,5.64,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,33.0,6.14,6.14,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,23.0,5.91,5.85,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0
Casale,Bologna,D,['Titolare'],80%,8,8,0,15,19.0,5.68,5.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,29.0,6.0,6.03,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,34.0,5.85,5.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0
Pongracic,Fiorentina,D,['Titolare'],40%,8,9,-1,20,36.0,5.94,5.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,9.0,6.0,5.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,,,,,,,,
Holm,Bologna,D,"['Outsider', 'Titolare', 'Falloso', 'Giovane talento']",60%,8,9,-1,24,18.0,5.94,6.08,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,18.0,6.06,6.17,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gatti,Juventus,D,['Titolare'],20%,8,7,1,16,32.0,5.97,6.11,4.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,16.0,5.94,5.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,,,,,,,,,,,,,
Baschirotto,Lecce,D,"['Outsider', 'Titolare']",60%,8,9,-1,20,37.0,5.76,5.72,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,37.0,6.07,6.23,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,,,,,,,,,,,,,
Gigot,Lazio,D,"['Titolare', 'Goleador']",40%,8,8,0,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hien,Atalanta,D,"['Outsider', 'Titolare', 'Buona Media', 'Falloso']",60%,8,8,0,21,22.0,5.95,5.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,32.0,5.94,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,,,,,,,,,,,,,
Posch,Bologna,D,['Titolare'],60%,8,8,0,18,30.0,6.1,6.15,1.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,30.0,6.12,6.68,6.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,,,,,,,,,,,,,
Dossena,Como,D,"['Outsider', 'Titolare', 'Goleador', 'Falloso']",60%,8,8,0,14,35.0,5.84,5.94,2.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Dorgu,Lecce,D,"['Outsider', 'Titolare', 'Goleador', 'Giovane talento']",60%,8,8,0,20,29.0,5.9,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Coco,Torino,D,"['Outsider', 'Titolare', 'Buona Media', 'Falloso']",60%,8,8,0,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
De Vrij,Inter,D,"['Fuoriclasse', 'Panchinaro', 'Buona Media', 'Goleador']",60%,7,8,-1,18,22.0,6.27,6.41,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,5.94,5.98,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,28.0,5.8,5.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0
Sabelli,Genoa,D,"['Panchinaro', 'Buona Media', 'Assistman', 'Falloso']",60%,7,6,1,8,31.0,5.92,5.87,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,,,,,,,,,,,,,,7.0,5.71,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
Bani,Genoa,D,"['Titolare', 'Falloso']",60%,7,7,0,14,27.0,6.02,6.07,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,,,,,,,,,,,,,,17.0,6.0,5.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Smalling,Roma,D,"['Panchinaro', 'Buona Media']",40%,7,8,-1,12,6.0,5.83,5.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,6.31,6.52,3.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,25.0,6.18,6.46,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Ranieri L.,Fiorentina,D,,,7,7,0,15,25.0,5.86,5.88,2.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,0.0,8.0,6.25,6.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27.0,5.7,5.65,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0
Kyriakopoulos,Monza,D,['Titolare'],60%,7,6,1,13,27.0,5.87,5.93,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,21.0,6.05,6.21,1.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,25.0,5.88,5.92,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,1.0,0.0
Maripan,Torino,D,"['Titolare', 'Buona Media']",20%,7,7,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mari',Monza,D,"['Titolare', 'Buona Media']",60%,7,7,0,15,33.0,5.98,5.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,29.0,5.93,5.97,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,15.0,6.27,6.57,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Erlic,Bologna,D,"['Titolare', 'Buona Media', 'Goleador']",60%,7,6,1,17,32.0,5.77,5.78,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,27.0,5.7,5.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,30.0,5.95,6.07,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
Vojvoda,Torino,D,"['Titolare', 'Buona Media']",60%,7,6,1,12,21.0,5.88,5.95,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,27.0,5.85,5.98,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,29.0,6.02,6.07,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0
Ismajli,Empoli,D,"['Titolare', 'Buona Media']",60%,7,6,1,9,25.0,5.72,5.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,25.0,6.0,5.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,17.0,5.5,5.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0
Godfrey,Atalanta,D,['Panchinaro'],60%,7,7,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scalvini,Atalanta,D,"['Titolare', 'Giovane talento']",80%,7,8,-1,12,33.0,6.06,6.2,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,32.0,5.95,6.03,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,14.0,5.96,6.14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Zanoli,Genoa,D,"['Outsider', 'Titolare', 'Assistman']",80%,7,6,1,9,18.0,5.83,5.75,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,20.0,6.0,6.32,2.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,6.0,5.92,5.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Olivera,Napoli,D,"['Titolare', 'Assistman']",60%,7,7,0,18,22.0,5.82,5.89,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,24.0,6.02,6.27,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,,,,,,,,,,,,,
Valeri,Parma,D,"['Titolare', 'Assistman']",60%,7,6,1,11,15.0,5.6,5.57,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,37.0,6.08,6.31,2.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,,,,,,,,,,,,,
Beukema,Bologna,D,"['Titolare', 'Goleador']",60%,7,7,0,16,30.0,6.02,6.02,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Marin R.,Napoli,D,,,7,8,-1,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sosa B.,Torino,D,,,7,8,-1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Masina,Torino,D,"['Titolare', 'Falloso']",60%,6,6,0,12,15.0,5.87,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,11.0,5.91,6.36,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,,,,,,,,
Izzo,Monza,D,"['Titolare', 'Buona Media', 'Falloso']",80%,6,6,0,11,20.0,5.82,5.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,29.0,6.03,5.97,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,9.0,5.83,5.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
Calabria,Milan,D,"['Titolare', 'Buona Media', 'Falloso']",60%,6,7,-1,13,29.0,5.95,6.03,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,23.0,5.96,6.09,1.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,26.0,6.15,6.42,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0
Pezzella Giu.,Empoli,D,,,6,5,1,7,15.0,5.63,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,14.0,5.71,5.71,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,16.0,5.97,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0
Marusic,Lazio,D,"['Titolare', 'Buona Media', 'Assistman']",60%,6,6,0,10,37.0,5.72,5.73,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,33.0,6.02,5.92,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,1.0,0.0,33.0,5.65,5.65,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0
Lazzari,Lazio,D,"['Titolare', 'Buona Media', 'Assistman']",80%,6,5,1,12,24.0,5.94,5.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,26.0,6.0,5.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,27.0,5.91,6.3,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0
Zortea,Cagliari,D,"['Outsider', 'Titolare', 'Goleador']",60%,6,7,-1,16,19.0,6.16,6.63,2.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,15.0,6.0,6.1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,23.0,5.78,5.96,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0
Zappa,Cagliari,D,"['Outsider', 'Titolare', 'Buona Media', 'Assistman', 'Falloso']",60%,6,6,0,10,37.0,5.8,5.91,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,,,,,,,,,,,,,,21.0,5.74,5.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
Moreno Alb.,Como,D,,,6,7,-1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tavares N.,Lazio,D,,,6,6,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viti,Empoli,D,"['Outsider', 'Titolare']",60%,6,5,1,6,14.0,5.89,5.96,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,5.82,5.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
De Winter,Genoa,D,"['Outsider', 'Titolare']",40%,6,6,0,8,29.0,5.84,5.74,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,0.0,13.0,5.73,5.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cabal,Juventus,D,"['Outsider', 'Panchinaro', 'Giovane talento']",60%,6,5,1,15,19.0,5.82,5.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,9.0,5.89,5.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,,,,,,,,,,,,,
Schuurs,Torino,D,"['Titolare', 'Buona Media']",40%,6,7,-1,10,9.0,6.11,6.33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,29.0,6.21,6.19,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,,,,,,,,,,,,,
Lucumi',Bologna,D,['Titolare'],60%,6,7,-1,14,29.0,6.1,6.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,33.0,5.83,5.68,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,1.0,,,,,,,,,,,,,
Ehizibue,Udinese,D,"['Outsider', 'Titolare', 'Assistman']",60%,6,5,1,8,20.0,5.88,5.82,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,21.0,5.79,5.93,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,,,,,,,,,,,,,
Pedersen,Torino,D,"['Outsider', 'Titolare', 'Buona Media', 'Assistman', 'Giovane talento']",60%,6,6,0,12,23.0,5.72,5.72,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Tchatchoua,Verona,D,"['Titolare', 'Giovane talento']",40%,6,6,0,14,25.0,5.76,5.76,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Giannetti L.,Udinese,D,,,6,4,2,6,7.0,5.79,5.64,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Circati,Parma,D,"['Outsider', 'Titolare', 'Falloso', 'Giovane talento']",60%,6,5,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delprato,Parma,D,,,6,6,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patric,Lazio,D,['Titolare'],60%,5,5,0,10,19.0,6.08,6.29,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,17.0,6.12,6.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,21.0,5.76,5.71,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0
Zampano,Venezia,D,"['Titolare', 'Assistman']",60%,5,5,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palomino,Cagliari,D,"['Panchinaro', 'Buona Media']",60%,5,5,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,5.82,5.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,33.0,6.14,6.09,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0
Martin,Genoa,D,"['Titolare', 'Goleador', 'Assistman']",60%,5,4,1,13,20.0,5.92,5.92,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Lykogiannis,Bologna,D,"['Titolare', 'Assistman', 'Piazzati']",60%,5,4,1,12,18.0,5.97,6.36,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,19.0,5.97,6.21,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,25.0,5.7,5.78,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Lazaro,Torino,D,['Titolare'],60%,5,4,1,8,30.0,6.02,6.07,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,20.0,6.0,6.05,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Augello,Cagliari,D,['Titolare'],60%,5,5,0,8,32.0,5.77,5.81,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,37.0,5.84,6.09,2.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,34.0,5.81,5.93,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Candela,Venezia,D,"['Titolare', 'Assistman', 'Falloso']",60%,5,5,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dawidowicz,Verona,D,['Titolare'],60%,5,5,0,7,26.0,5.77,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,22.0,5.8,5.8,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,0.0,15.0,5.77,5.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
Gallo,Lecce,D,['Titolare'],40%,5,5,0,11,34.0,5.94,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,31.0,5.82,5.65,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,2.0,,,,,,,,,,,,,
Caldirola,Monza,D,"['Titolare', 'Falloso']",60%,5,5,0,8,29.0,5.79,5.78,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,30.0,5.93,6.03,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,,,,,,,,,,,,,
Bradaric,Verona,D,['Panchinaro'],60%,5,5,0,8,34.0,5.72,5.74,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,30.0,5.75,5.77,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,,,,,,,,,,,,,
Daniliuc,Verona,D,['Titolare'],60%,5,5,0,8,11.0,5.45,5.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,27.0,5.69,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,,,,,,,,,,,,,
Kamara H.,Udinese,D,,,5,5,0,13,31.0,6.06,6.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Guilbert,Lecce,D,['Panchinaro'],60%,5,5,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Birindelli,Monza,D,"['Titolare', 'Falloso', 'Giovane talento']",60%,5,5,0,8,32.0,6.0,5.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,30.0,5.83,5.77,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,,,,,,,,,,,,,
Azzi,Cagliari,D,"['Panchinaro', 'Falloso']",60%,5,4,1,7,22.0,5.84,5.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Kayode,Fiorentina,D,"['Outsider', 'Panchinaro', 'Giovane talento']",60%,5,5,0,8,26.0,6.06,6.17,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Vogliacco,Genoa,D,"['Panchinaro', 'Falloso']",60%,5,2,3,4,15.0,6.03,5.97,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Frese,Verona,D,"['Outsider', 'Titolare', 'Buona Media', 'Assistman']",60%,5,5,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abdulhamid,Roma,D,['Panchinaro'],60%,5,5,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Van Der Brempt,Como,D,,,5,5,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hysaj,Lazio,D,['Panchinaro'],60%,4,4,0,6,20.0,5.7,5.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,30.0,5.97,6.05,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,27.0,5.63,5.69,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
Juan Jesus,Napoli,D,,,4,5,-1,6,24.0,5.69,5.67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,12.0,6.08,6.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,15.0,6.03,6.07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
