Nome,Squadra,R,attributi,Res. Inf.,Qt.A,Qt.I,Diff.,FVM,Pv 23_24,Mv 23_24,Fm 23_24,Gf 23_24,Gs 23_24,Rp 23_24,Rc 23_24,R+ 23_24,R- 23_24,Ass 23_24,Amm 23_24,Esp 23_24,Au 23_24,Pv 22_23,Mv 22_23,Fm 22_23,Gf 22_23,Gs 22_23,Rp 22_23,Rc 22_23,R+ 22_23,R- 22_23,Ass 22_23,Amm 22_23,Esp 22_23,Au 22_23,Pv,Mv,Fm,Gf,Gs,Rp,Rc,R+,R-,Ass,Amm,Esp,Au
Gollini,Genoa,P,['Titolare'],80%,10,10,0,38,7.0,6.0,4.86,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.07,5.21,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
De Gea,Fiorentina,P,"['Fuoriclasse', 'Titolare']",60%,10,11,-1,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scuffet,Cagliari,P,['Titolare'],60%,8,7,1,29,31.0,6.13,4.31,0.0,55.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Audero,Como,P,['Titolare'],60%,8,9,-1,27,4.0,6.0,5.25,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,6.3,4.88,0.0,39.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,29.0,6.12,4.53,0.0,48.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Falcone,Lecce,P,['Titolare'],60%,8,9,-1,29,38.0,6.25,4.91,0.0,54.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,6.25,5.09,0.0,46.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,10.0,6.45,4.95,0.0,14.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Turati,Monza,P,"['Titolare', 'Giovane talento']",80%,8,8,0,23,31.0,6.19,4.42,0.0,58.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Okoye,Udinese,P,"['Outsider', 'Titolare']",40%,8,7,1,31,21.0,6.17,4.93,0.0,25.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Joronen,Venezia,P,['Titolare'],60%,7,6,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montipo',Verona,P,,,7,7,0,30,37.0,6.31,4.99,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,6.19,4.66,0.0,59.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,34.0,6.09,4.69,0.0,50.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Suzuki,Parma,P,"['Titolare', 'Giovane talento']",60%,7,7,0,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vasquez D.,Empoli,P,,,6,5,1,14,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
Pizzignacco,Monza,P,"['Titolare', 'Giovane talento']",60%,3,1,2,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perin,Juventus,P,"['Panchinaro', 'Buona Media']",60%,2,2,0,3,3.0,6.0,5.67,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,6.41,6.05,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.1,4.7,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reina,Como,P,['Panchinaro'],40%,2,2,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,5.97,4.0,0.0,29.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0
Caprile,Napoli,P,"['Panchinaro', 'Giovane talento']",60%,2,2,0,4,23.0,6.26,5.22,0.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Martinez Jo.,Inter,P,,,2,2,0,4,36.0,6.14,4.97,0.0,43.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Sportiello,Milan,P,"['Panchinaro', 'Buona Media']",80%,1,1,0,1,7.0,6.14,4.57,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,6.13,4.73,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.3,5.3,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leali,Genoa,P,['Panchinaro'],60%,1,1,0,1,2.0,6.5,5.25,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
